date,corridor,target_source_quote_date,rate,dist_min_10,favourability_percentile_20,ret_5,good,future_regret_bps,centered_benefit_bps
2024-06-19,TJS_RUB,2024-06-19,8.09353,0.0,1.0,-0.023540624830340362,False,478.65393715721024,117.9617843727259
2024-06-19,UZS_RUB,2024-06-19,0.00689947,0.0,1.0,-0.01952572663698482,False,515.5613402188869,66.7525740330568
2024-07-10,KZT_RUB,2024-07-10,0.184776,0.008586103939346001,0.85,-0.002160107141314316,False,110.29570939948826,15.259019933479282
2024-07-22,KZT_RUB,2024-07-20,0.184518,0.009740721688975329,0.8,-0.002659315712664312,False,236.39970084219303,-57.82588381871974
2024-07-24,AMD_RUB,2024-07-24,0.22505,0.0,0.8,-0.010986596352450029,False,215.9075760942014,-45.760228137949255
2024-07-24,TJS_RUB,2024-07-24,8.1864,0.0,0.8,-0.010258425268248383,False,211.42382488028994,-23.59750190193425
2024-07-24,UZS_RUB,2024-07-24,0.00693232,0.0,0.85,-0.009993859160561613,False,241.17467168278347,-49.40459964146742
2024-07-26,KGS_RUB,2024-07-26,1.01437,0.0,0.85,-0.02110514938624264,True,0.0,133.24112771851722
2024-07-31,AMD_RUB,2024-07-31,0.222282,0.00949630093873055,0.9,-0.01229948900244382,False,144.9510081788,3.976633583730676
2024-08-01,KZT_RUB,2024-08-01,0.181141,0.005467483736317336,0.9,-0.010855735574376468,False,146.57090332945003,22.402611198630314
2024-08-02,KGS_RUB,2024-08-02,1.02087,0.006407918215246777,0.9,0.006407918215246777,False,152.90879348007,12.690124762931763
2024-08-02,TJS_RUB,2024-08-02,8.08651,0.00913354265148536,0.9,0.00913354265148536,True,92.06691143645475,50.929191615014496
2024-08-05,UZS_RUB,2024-08-03,0.00681537,0.007426317010907457,0.9,0.006315152231048726,True,93.64128433232534,101.49985102741084
2024-09-04,KZT_RUB,2024-09-04,0.18364,0.0,0.85,-0.029109788205936238,True,0.0,259.06269836117815
2024-09-04,TJS_RUB,2024-09-04,8.29807,0.0,0.85,-0.032141540815802894,True,0.0,241.42603965724965
2024-09-04,UZS_RUB,2024-09-04,0.00701875,0.0,0.8,-0.027935893281037516,True,0.0,192.90587006087395
2024-12-05,KZT_RUB,2024-12-05,0.199239,0.0,0.8,-0.08036039861711808,False,488.759730775601,175.62170492106546
2024-12-09,AMD_RUB,2024-12-07,0.247742,0.0,1.0,-0.09255671016918732,True,0.0,526.6171005477468
2024-12-09,KGS_RUB,2024-12-07,1.14541,0.0,0.8,-0.07721248741188314,True,4.627164072254838,406.7792554305241
2024-12-09,TJS_RUB,2024-12-07,9.10537,0.0,1.0,-0.08183951348042784,True,0.0,430.0149741244786
2024-12-10,UZS_RUB,2024-12-10,0.0077413,0.0,0.8,-0.07170086446830226,True,0.0,376.20903952828996
