rule,thresholds,favourability_threshold,past_advantage_threshold,predicted_regret_threshold,is_primary,corridor,actual_regret_tolerance,n_rows,n_signals,signal_frequency,hit_rate,random_hit_rate,uplift,mean_actual_regret_signal,median_actual_regret_signal,p90_actual_regret_signal
RULE_B,fav>=0.850; past_advantage>=0.000; predicted_regret<=0.005,0.85,0.0,0.005,True,AMD_RUB,0.005,275,34,0.12363636363636364,0.38235294117647056,0.501,0.7631795233063284,0.011215160640824475,0.00970412934812765,0.026316996254596988
RULE_B,fav>=0.850; past_advantage>=0.000; predicted_regret<=0.005,0.85,0.0,0.005,True,KGS_RUB,0.005,275,38,0.13818181818181818,0.3157894736842105,0.4911578947368421,0.6429489927132447,0.012979464935710054,0.0127455434231585,0.02869007678674351
RULE_B,fav>=0.850; past_advantage>=0.000; predicted_regret<=0.005,0.85,0.0,0.005,True,KZT_RUB,0.005,275,19,0.06909090909090909,0.5789473684210527,0.43431578947368416,1.3330101793504607,0.005302101448000047,0.0026769032170398,0.013311063145806018
RULE_B,fav>=0.850; past_advantage>=0.000; predicted_regret<=0.005,0.85,0.0,0.005,True,TJS_RUB,0.005,275,32,0.11636363636363636,0.375,0.48925,0.7664793050587634,0.01161708637958641,0.01078795446371685,0.02635211151597409
RULE_B,fav>=0.850; past_advantage>=0.000; predicted_regret<=0.005,0.85,0.0,0.005,True,UZS_RUB,0.005,275,25,0.09090909090909091,0.44,0.45272,0.9719031631030217,0.01065427952019195,0.0059707671497088,0.028625506900798302
GRID_F0.85_PA0.000_PR0.010,fav>=0.850; past_advantage>=0.000; predicted_regret<=0.010,0.85,0.0,0.01,False,AMD_RUB,0.005,275,34,0.12363636363636364,0.38235294117647056,0.5011176470588236,0.7630003521540086,0.011215160640824475,0.00970412934812765,0.026316996254596988
GRID_F0.85_PA0.000_PR0.010,fav>=0.850; past_advantage>=0.000; predicted_regret<=0.010,0.85,0.0,0.01,False,KGS_RUB,0.005,275,38,0.13818181818181818,0.3157894736842105,0.498,0.6341154090044387,0.012979464935710054,0.0127455434231585,0.02869007678674351
GRID_F0.85_PA0.000_PR0.010,fav>=0.850; past_advantage>=0.000; predicted_regret<=0.010,0.85,0.0,0.01,False,KZT_RUB,0.005,275,19,0.06909090909090909,0.5789473684210527,0.43747368421052624,1.3233878729547646,0.005302101448000047,0.0026769032170398,0.013311063145806018
GRID_F0.85_PA0.000_PR0.010,fav>=0.850; past_advantage>=0.000; predicted_regret<=0.010,0.85,0.0,0.01,False,TJS_RUB,0.005,275,32,0.11636363636363636,0.375,0.493875,0.759301442672741,0.01161708637958641,0.01078795446371685,0.02635211151597409
GRID_F0.85_PA0.000_PR0.010,fav>=0.850; past_advantage>=0.000; predicted_regret<=0.010,0.85,0.0,0.01,False,UZS_RUB,0.005,275,25,0.09090909090909091,0.44,0.4466400000000001,0.9851334408024358,0.01065427952019195,0.0059707671497088,0.028625506900798302
