corridor,date,rate_t,favourability_percentile_90,past_best_5,past_advantage_5,predicted_rate_h1,predicted_rate_h2,predicted_rate_h3,predicted_rate_h4,predicted_rate_h5,predicted_future_best_5,predicted_regret_5,actual_future_best_5,actual_regret_5
UZS_RUB,2025-10-02,0.00675326,0.1444444444444445,0.00682674,0.010763556250860697,0.0067379671889784,0.0067427872958026,0.0067483525718322,0.0067498800712012,0.0067570131040524,0.0067379671889784,0.0022645079593558944,0.00670373,0.007334235613614741
UZS_RUB,2025-10-03,0.00670373,0.16666666666666663,0.00675326,0.007334235613614741,0.0066936416684748,0.0066977908231979,0.0066989102705547,0.0067012559661229,0.0067093531276446,0.0066936416684748,0.0015048833299073448,0.00674371,0.0
UZS_RUB,2025-10-04,0.0067685,0.1333333333333333,0.00670373,-0.009661785304599149,0.0067758866399567,0.0067759913373357,0.006765253056308,0.0067791178040013,0.0067815466640334,0.006765253056308,0.00047971392361683725,0.00669696,0.010569550121888179
UZS_RUB,2025-10-07,0.00688198,0.022222222222222254,0.00670373,-0.026589674703486037,0.0068926796872906,0.0068981324602601,0.0068809494395619,0.0069051430938852,0.0068978178658036,0.0068809494395619,0.00014974766536671074,0.0066597,0.03229884422796928
UZS_RUB,2025-10-08,0.0068149,0.0888888888888889,0.00670373,-0.016583305115211958,0.0068018448491883,0.0068041392528048,0.0068107856247148,0.0068239139577615,0.0068193606290278,0.0068018448491883,0.0019156775318345976,0.00658122,0.03428957138035775
UZS_RUB,2025-10-09,0.00677382,0.15555555555555556,0.00670373,-0.0104553733518504,0.0067660488163259,0.0067694111987433,0.0067698583584646,0.0067788255107002,0.0067818152772883,0.0067660488163259,0.0011472379948241221,0.00647011,0.04483585332943591
UZS_RUB,2025-10-10,0.00674371,0.19999999999999996,0.00670373,-0.005963844009230715,0.006738924878495,0.0067414843143643,0.0067413617278725,0.0067464746789176,0.0067526933197675,0.006738924878495,0.0007095681019794511,0.00646445,0.04141044024728227
UZS_RUB,2025-10-11,0.00669696,0.23333333333333328,0.00674371,0.0069323858825483175,0.0066883543824296,0.0066891278691734,0.0066932322323941,0.006695286489719,0.0067071973934687,0.0066883543824296,0.001285003579295721,0.00646445,0.03471873805428135
UZS_RUB,2025-10-14,0.0066597,0.2666666666666667,0.00669696,0.005563718463302737,0.0066530060227276,0.006655020061178,0.0066559929726436,0.0066603332533086,0.0066686584226348,0.0066530060227276,0.0010051469694431403,0.00646445,0.02931813745363907
UZS_RUB,2025-10-15,0.00658122,0.2777777777777778,0.0066597,0.011784314608766245,0.0065707499139861,0.006572486662295,0.0065774376741273,0.0065806674965146,0.0065868792137533,0.0065707499139861,0.0015909035124033841,0.00646445,0.017742910888862484
UZS_RUB,2025-10-16,0.00647011,0.4,0.00658122,0.016882887975177754,0.0064569262154659,0.0064621561645606,0.0064665085052226,0.0064639975760961,0.0064700674429379,0.0064569262154659,0.002037644573909865,0.00646445,0.0008747919278034242
UZS_RUB,2025-10-17,0.00646445,0.43333333333333335,0.00647011,0.0008747919278034242,0.0064651980449566,0.0064614334032157,0.0064605409481984,0.0064618864652494,0.0064633968887881,0.0064605409481984,0.000604699827765733,0.00665928,0.0
UZS_RUB,2025-10-18,0.00665928,0.2777777777777778,0.00646445,-0.030138681558369237,0.0066725604630285,0.0066748996700584,0.0066566459441355,0.0066668097020027,0.0066704994688321,0.0066566459441355,0.00039554664535807897,0.00667566,0.0
UZS_RUB,2025-10-21,0.00671924,0.21111111111111114,0.00646445,-0.039414025941882064,0.0067217537125451,0.006727767725111,0.0067178858200796,0.006728659213353,0.0067139497412029,0.0067139497412029,0.0007873299356921138,0.00651832,0.029902191319256255
UZS_RUB,2025-10-22,0.00674515,0.19999999999999996,0.00646445,-0.0434221008747844,0.006751618910336,0.0067495952270454,0.00674518759291,0.0067558607368255,0.0067519748434577,0.00674518759291,0.0,0.00651832,0.03362860722148505
UZS_RUB,2025-10-23,0.00679833,0.12222222222222223,0.00646445,-0.05164863213421094,0.0068027672532956,0.0068052094051992,0.006798720047723,0.0068146153531328,0.0068125613904824,0.006798720047723,0.0,0.00651832,0.041188056478576325
UZS_RUB,2025-10-24,0.00671573,0.24444444444444446,0.00646445,-0.038871056315695776,0.006706551301507,0.0067117456670828,0.0067127870401869,0.0067123576266564,0.0067106249982759,0.006706551301507,0.0013667462052524243,0.00651832,0.029395166273807827
UZS_RUB,2025-10-25,0.00667566,0.3111111111111111,0.00665928,-0.0024597253757162735,0.006668541433307,0.006672178342491,0.0066719653502575,0.006675502911158,0.0066766779974547,0.006668541433307,0.001066346502518136,0.00651832,0.023569205142263048
