feature,role,dtype,missing_share,n_unique,mean,std,min,median,max,dominant_value_share,is_constant,is_near_constant,is_critical_missingness,exact_duplicate_of,max_abs_pearson_ge_090,high_corr_pair_occurrences_090,high_corr_pair_occurrences_098,max_vif_representative_subset,vif_status,in_structural_reduced_set,in_candidate_reduced_set,recommended_action
rolling_range_20,CAUSAL FEATURE,float64,0.010058231868713605,9348,0.06438661104923687,0.058895731036396795,0.009582926108767919,0.0473554747703354,0.5310247111232038,0.000213903743315508,False,False,False,,0.9337378197054302,1,0,1693.1799612771,severe,True,False,retain for future temporal screening
rolling_range_60,CAUSAL FEATURE,float64,0.03123345685547909,9149,0.1321719567886184,0.11013603831680474,0.021743838423249468,0.10126113261887704,0.9155331387231023,0.0002185792349726776,False,False,False,,0.9370488653371937,4,0,457.7000898486591,severe,True,False,retain for future temporal screening
sma_10,CAUSAL FEATURE,float64,0.004764425622022234,9398,1.740223699702979,2.8903894869105127,0.004915266999999999,0.20341604999999996,9.803825999999999,0.0002127659574468085,False,False,False,,0.9982889575724184,40,19,,not_in_vif_subset,True,False,retain for future temporal screening
sma_20,CAUSAL FEATURE,float64,0.010058231868713605,9342,1.7394770838813904,2.8880954348938035,0.0050953145,0.2035872,9.580991000000001,0.000213903743315508,False,False,False,,0.9964134753008373,41,11,,not_in_vif_subset,True,False,retain for future temporal screening
sma_20_vs_60,CAUSAL FEATURE,float64,0.03123345685547909,9150,0.0013087326014191772,0.0411857968755087,-0.23625946983251433,0.0009277632805172464,0.20776025063838244,0.0001092896174863388,False,False,False,,,0,0,627.4099595869711,severe,True,False,retain for future temporal screening
sma_5,CAUSAL FEATURE,float64,0.0021175224986765486,9401,1.740643793563714,2.8915893035240665,0.004862475999999999,0.2030606,9.98958,0.00021220159151193635,False,False,False,,0.9982889575724184,36,14,,not_in_vif_subset,True,False,retain for future temporal screening
sma_5_vs_20,CAUSAL FEATURE,float64,0.010058231868713605,9350,0.0007377536702736368,0.0276082637339721,-0.20301216190036508,-0.00032991446819319314,0.25443233836217516,0.000106951871657754,False,False,False,,0.9247181700336402,4,0,1634.6764273818987,severe,True,False,retain for future temporal screening
sma_60,CAUSAL FEATURE,float64,0.03123345685547909,9147,1.737720013083588,2.8818728575221657,0.0053439255,0.20184273333333333,9.348626666666666,0.0002185792349726776,False,False,False,,0.9830158387539373,31,2,,not_in_vif_subset,True,False,retain for future temporal screening
up_streak,CAUSAL FEATURE,int64,0.0,18,1.1746956061408151,1.7408243217310633,0.0,1.0,17.0,0.49412387506617256,False,False,False,,,0,0,1.908025062555539,acceptable,True,True,retain for future temporal screening
usd_rub_freshness_days,CAUSAL FEATURE,Int64,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,True,False,False,,,0,0,,not_in_vif_subset,False,False,exclude from future feature models: constant on snapshot
vol_10,CAUSAL FEATURE,float64,0.005293806246691371,9395,0.00924387117679298,0.00850159032335756,0.0011200131797164425,0.006894264130418157,0.09254951744813013,0.00010643959552953698,False,False,False,,,0,0,,not_in_vif_subset,True,False,retain for future temporal screening
vol_20,CAUSAL FEATURE,float64,0.010587612493382742,9345,0.009782669360344378,0.008081652080934624,0.0024871641592571565,0.007539216123765071,0.07560578350880008,0.00010700909577314071,False,False,False,,0.9337378197054302,1,0,16.65413501183602,severe,True,False,retain for future temporal screening
vol_5,CAUSAL FEATURE,float64,0.0026469031233456856,9420,0.008604990767435212,0.009029373300873902,0.00020361499281971188,0.006191241514516433,0.11447848552223433,0.00010615711252653928,False,False,False,,,0,0,3.979792822068228,acceptable,True,True,retain for future temporal screening
vol_60,CAUSAL FEATURE,float64,0.03176283748014823,9145,0.010499846949632928,0.007378994991596441,0.003032284283432378,0.008604349912201931,0.05519375732816315,0.00010934937124111536,False,False,False,,0.9370488653371937,4,0,17.42328434880071,severe,True,False,retain for future temporal screening
log_ret_1,TARGET / SERIES,float64,0.0005293806246691371,9433,8.829849833127563e-05,0.012707359850538271,-0.1477006155617783,6.740213382603637e-05,0.17824363763410947,0.000847457627118644,False,False,False,,,0,0,,not_in_vif_subset,False,False,series column; not an exogenous screening decision
rate,TARGET / SERIES,float64,0.0,9340,1.7410186659555318,2.8926525885488106,0.00473661,0.203014,10.6719,0.00031762837480148225,False,False,False,,,0,0,,not_in_vif_subset,False,False,series column; not an exogenous screening decision
